country,crop,item_code_cpc,element,element_code,year,unit,value,flag_description,flag,domain,domain_code,unique_id
Algeria,Barley,0115,Production,5510,2023,t,1000000,Figure from international organizations,X,Crops and livestock products,QCL,8
Algeria,Oats,0117,Area harvested,5312,2023,ha,80000,Figure from international organizations,X,Crops and livestock products,QCL,7
Algeria,Oats,0117,Yield,5412,2023,kg/ha,950,Figure from international organizations,X,Crops and livestock products,QCL,9
Algeria,Oats,0117,Production,5510,2023,t,76000,Figure from international organizations,X,Crops and livestock products,QCL,8
Algeria,Rice,0113,Area harvested,5312,2023,ha,172,Estimated value,E,Crops and livestock products,QCL,7
Algeria,Rice,0113,Yield,5412,2023,kg/ha,1790.3,Estimated value,E,Crops and livestock products,QCL,9
Algeria,Rice,0113,Production,5510,2023,t,307.29,Estimated value,E,Crops and livestock products,QCL,8
Algeria,Wheat,0111,Area harvested,5312,2023,ha,1800000,Figure from international organizations,X,Crops and livestock products,QCL,7
Algeria,Wheat,0111,Yield,5412,2023,kg/ha,1388.9,Figure from international organizations,X,Crops and livestock products,QCL,9
Algeria,Wheat,0111,Production,5510,2023,t,2500000,Figure from international organizations,X,Crops and livestock products,QCL,8
Angola,Rice,0113,Area harvested,5312,2023,ha,33983,Imputed value,I,Crops and livestock products,QCL,10
Angola,Rice,0113,Yield,5412,2023,kg/ha,1172.1,Estimated value,E,Crops and livestock products,QCL,12
Angola,Rice,0113,Production,5510,2023,t,39830,Official figure,A,Crops and livestock products,QCL,11
Angola,Wheat,0111,Area harvested,5312,2023,ha,22472,Estimated value,E,Crops and livestock products,QCL,10
Angola,Wheat,0111,Yield,5412,2023,kg/ha,931,Estimated value,E,Crops and livestock products,QCL,12
Angola,Wheat,0111,Production,5510,2023,t,20921,Official figure,A,Crops and livestock products,QCL,11
Argentina,Barley,0115,Area harvested,5312,2023,ha,1589966,Official figure,A,Crops and livestock products,QCL,13
Argentina,Barley,0115,Yield,5412,2023,kg/ha,2953.5,Official figure,A,Crops and livestock products,QCL,15
Argentina,Barley,0115,Production,5510,2023,t,4695914,Official figure,A,Crops and livestock products,QCL,14
Argentina,Oats,0117,Area harvested,5312,2023,ha,257361,Official figure,A,Crops and livestock products,QCL,13
Argentina,Oats,0117,Yield,5412,2023,kg/ha,1666.5,Official figure,A,Crops and livestock products,QCL,15
Argentina,Oats,0117,Production,5510,2023,t,428884,Official figure,A,Crops and livestock products,QCL,14
Argentina,Rice,0113,Area harvested,5312,2023,ha,173002,Official figure,A,Crops and livestock products,QCL,13
Argentina,Rice,0113,Yield,5412,2023,kg/ha,6723.7,Official figure,A,Crops and livestock products,QCL,15
Argentina,Rice,0113,Production,5510,2023,t,1163209,Official figure,A,Crops and livestock products,QCL,14
Argentina,Rye,0116,Area harvested,5312,2023,ha,107792,Official figure,A,Crops and livestock products,QCL,13
Argentina,Rye,0116,Yield,5412,2023,kg/ha,1664.6,Official figure,A,Crops and livestock products,QCL,15
Argentina,Rye,0116,Production,5510,2023,t,179428,Official figure,A,Crops and livestock products,QCL,14
Argentina,Wheat,0111,Area harvested,5312,2023,ha,5488728,Official figure,A,Crops and livestock products,QCL,13
Argentina,Wheat,0111,Yield,5412,2023,kg/ha,2287.6,Official figure,A,Crops and livestock products,QCL,15
Argentina,Wheat,0111,Production,5510,2023,t,12555860,Official figure,A,Crops and livestock products,QCL,14
Armenia,Barley,0115,Area harvested,5312,2023,ha,39848,Official figure,A,Crops and livestock products,QCL,16
Armenia,Barley,0115,Yield,5412,2023,kg/ha,2099.2,Official figure,A,Crops and livestock products,QCL,18
Armenia,Barley,0115,Production,5510,2023,t,83648.5,Official figure,A,Crops and livestock products,QCL,17
Armenia,Oats,0117,Area harvested,5312,2023,ha,5509,Official figure,A,Crops and livestock products,QCL,16
Armenia,Oats,0117,Yield,5412,2023,kg/ha,1977.3,Official figure,A,Crops and livestock products,QCL,18
Armenia,Oats,0117,Production,5510,2023,t,10893.2,Official figure,A,Crops and livestock products,QCL,17
Armenia,Rye,0116,Area harvested,5312,2023,ha,323,Official figure,A,Crops and livestock products,QCL,16
Armenia,Rye,0116,Yield,5412,2023,kg/ha,1559.4,Official figure,A,Crops and livestock products,QCL,18
Armenia,Rye,0116,Production,5510,2023,t,503.7,Official figure,A,Crops and livestock products,QCL,17
Armenia,Wheat,0111,Area harvested,5312,2023,ha,70398,Official figure,A,Crops and livestock products,QCL,16
Armenia,Wheat,0111,Yield,5412,2023,kg/ha,2526.5,Official figure,A,Crops and livestock products,QCL,18
Armenia,Wheat,0111,Production,5510,2023,t,177859.6,Official figure,A,Crops and livestock products,QCL,17
Australia,Barley,0115,Area harvested,5312,2023,ha,3807695,Official figure,A,Crops and livestock products,QCL,19
Australia,Barley,0115,Yield,5412,2023,kg/ha,3543.2,Official figure,A,Crops and livestock products,QCL,21
Australia,Barley,0115,Production,5510,2023,t,13491375,Official figure,A,Crops and livestock products,QCL,20
Australia,Oats,0117,Area harvested,5312,2023,ha,569082,Official figure,A,Crops and livestock products,QCL,19
Australia,Oats,0117,Yield,5412,2023,kg/ha,1686.6,Official figure,A,Crops and livestock products,QCL,21
Australia,Oats,0117,Production,5510,2023,t,959829,Official figure,A,Crops and livestock products,QCL,20
Australia,Rice,0113,Area harvested,5312,2023,ha,52188,Official figure,A,Crops and livestock products,QCL,19
Australia,Rice,0113,Yield,5412,2023,kg/ha,9516.2,Official figure,A,Crops and livestock products,QCL,21
Australia,Rice,0113,Production,5510,2023,t,496633,Official figure,A,Crops and livestock products,QCL,20
Australia,Rye,0116,Area harvested,5312,2023,ha,40471,Estimated value,E,Crops and livestock products,QCL,19
Australia,Rye,0116,Yield,5412,2023,kg/ha,707.8,Estimated value,E,Crops and livestock products,QCL,21
Australia,Rye,0116,Production,5510,2023,t,28643.7,Imputed value,I,Crops and livestock products,QCL,20
Australia,Wheat,0111,Area harvested,5312,2023,ha,12925286,Official figure,A,Crops and livestock products,QCL,19
Australia,Wheat,0111,Yield,5412,2023,kg/ha,3187.5,Official figure,A,Crops and livestock products,QCL,21
Australia,Wheat,0111,Production,5510,2023,t,41199486,Official figure,A,Crops and livestock products,QCL,20
Austria,Barley,0115,Area harvested,5312,2023,ha,122710,Official figure,A,Crops and livestock products,QCL,22
Austria,Barley,0115,Yield,5412,2023,kg/ha,6292.2,Official figure,A,Crops and livestock products,QCL,24
Austria,Barley,0115,Production,5510,2023,t,772120,Official figure,A,Crops and livestock products,QCL,23
Austria,Oats,0117,Area harvested,5312,2023,ha,17620,Official figure,A,Crops and livestock products,QCL,22
Austria,Oats,0117,Yield,5412,2023,kg/ha,3426.8,Official figure,A,Crops and livestock products,QCL,24
Austria,Oats,0117,Production,5510,2023,t,60380,Official figure,A,Crops and livestock products,QCL,23
Austria,Rye,0116,Area harvested,5312,2023,ha,38470,Official figure,A,Crops and livestock products,QCL,22
Austria,Rye,0116,Yield,5412,2023,kg/ha,4593.7,Official figure,A,Crops and livestock products,QCL,24
Austria,Rye,0116,Production,5510,2023,t,176720,Official figure,A,Crops and livestock products,QCL,23
Austria,Wheat,0111,Area harvested,5312,2023,ha,281980,Official figure,A,Crops and livestock products,QCL,22
Austria,Wheat,0111,Yield,5412,2023,kg/ha,6187.7,Official figure,A,Crops and livestock products,QCL,24
Austria,Wheat,0111,Production,5510,2023,t,1744820,Official figure,A,Crops and livestock products,QCL,23
Azerbaijan,Barley,0115,Area harvested,5312,2023,ha,356540,Official figure,A,Crops and livestock products,QCL,25
Azerbaijan,Barley,0115,Yield,5412,2023,kg/ha,2914.2,Official figure,A,Crops and livestock products,QCL,27
Azerbaijan,Barley,0115,Production,5510,2023,t,1039018.6,Official figure,A,Crops and livestock products,QCL,26
Azerbaijan,Oats,0117,Area harvested,5312,2023,ha,4984,Official figure,A,Crops and livestock products,QCL,25
Azerbaijan,Oats,0117,Yield,5412,2023,kg/ha,2042.2,Official figure,A,Crops and livestock products,QCL,27
Azerbaijan,Oats,0117,Production,5510,2023,t,10179.1,Official figure,A,Crops and livestock products,QCL,26
Azerbaijan,Rice,0113,Area harvested,5312,2023,ha,3004,Official figure,A,Crops and livestock products,QCL,25
Azerbaijan,Rice,0113,Yield,5412,2023,kg/ha,4651.5,Official figure,A,Crops and livestock products,QCL,27
Azerbaijan,Rice,0113,Production,5510,2023,t,13972.5,Official figure,A,Crops and livestock products,QCL,26
Azerbaijan,Rye,0116,Area harvested,5312,2023,ha,160,Official figure,A,Crops and livestock products,QCL,25
Azerbaijan,Rye,0116,Yield,5412,2023,kg/ha,1890.6,Official figure,A,Crops and livestock products,QCL,27
Azerbaijan,Rye,0116,Production,5510,2023,t,302.5,Official figure,A,Crops and livestock products,QCL,26
Azerbaijan,Wheat,0111,Area harvested,5312,2023,ha,542820,Official figure,A,Crops and livestock products,QCL,25
Azerbaijan,Wheat,0111,Yield,5412,2023,kg/ha,3302,Official figure,A,Crops and livestock products,QCL,27
Azerbaijan,Wheat,0111,Production,5510,2023,t,1792419.1,Official figure,A,Crops and livestock products,QCL,26
Bangladesh,Barley,0115,Area harvested,5312,2023,ha,169,Official figure,A,Crops and livestock products,QCL,28
Bangladesh,Barley,0115,Yield,5412,2023,kg/ha,940.8,Official figure,A,Crops and livestock products,QCL,30
Bangladesh,Barley,0115,Production,5510,2023,t,159,Official figure,A,Crops and livestock products,QCL,29
Bangladesh,Rice,0113,Area harvested,5312,2023,ha,11641645,Official figure,A,Crops and livestock products,QCL,28
Bangladesh,Rice,0113,Yield,5412,2023,kg/ha,5034.8,Official figure,A,Crops and livestock products,QCL,30
Bangladesh,Rice,0113,Production,5510,2023,t,58613458,Official figure,A,Crops and livestock products,QCL,29
Bangladesh,Wheat,0111,Area harvested,5312,2023,ha,316832,Official figure,A,Crops and livestock products,QCL,28
Bangladesh,Wheat,0111,Yield,5412,2023,kg/ha,3494.6,Official figure,A,Crops and livestock products,QCL,30
Bangladesh,Wheat,0111,Production,5510,2023,t,1107195,Official figure,A,Crops and livestock products,QCL,29
Belarus,Barley,0115,Area harvested,5312,2023,ha,280951,Imputed value,I,Crops and livestock products,QCL,31
Belarus,Barley,0115,Yield,5412,2023,kg/ha,4093.2,Estimated value,E,Crops and livestock products,QCL,33
Belarus,Barley,0115,Production,5510,2023,t,1150000,Figure from international organizations,X,Crops and livestock products,QCL,32
Belarus,Oats,0117,Area harvested,5312,2023,ha,155000,Figure from international organizations,X,Crops and livestock products,QCL,31
Belarus,Oats,0117,Yield,5412,2023,kg/ha,2258.1,Figure from international organizations,X,Crops and livestock products,QCL,33
Belarus,Oats,0117,Production,5510,2023,t,350000,Figure from international organizations,X,Crops and livestock products,QCL,32
Belarus,Rye,0116,Area harvested,5312,2023,ha,310000,Figure from international organizations,X,Crops and livestock products,QCL,31
Belarus,Rye,0116,Yield,5412,2023,kg/ha,2516.1,Figure from international organizations,X,Crops and livestock products,QCL,33
Belarus,Rye,0116,Production,5510,2023,t,780000,Figure from international organizations,X,Crops and livestock products,QCL,32
Belarus,Wheat,0111,Area harvested,5312,2023,ha,664117,Imputed value,I,Crops and livestock products,QCL,31
Belarus,Wheat,0111,Yield,5412,2023,kg/ha,3613.8,Estimated value,E,Crops and livestock products,QCL,33
Belarus,Wheat,0111,Production,5510,2023,t,2400000,Figure from international organizations,X,Crops and livestock products,QCL,32
Belgium,Barley,0115,Area harvested,5312,2023,ha,48860,Official figure,A,Crops and livestock products,QCL,34
Belgium,Barley,0115,Yield,5412,2023,kg/ha,8059.4,Official figure,A,Crops and livestock products,QCL,36
Belgium,Barley,0115,Production,5510,2023,t,393780,Official figure,A,Crops and livestock products,QCL,35
Belgium,Oats,0117,Area harvested,5312,2023,ha,2930,Official figure,A,Crops and livestock products,QCL,34
Belgium,Oats,0117,Yield,5412,2023,kg/ha,3904.4,Official figure,A,Crops and livestock products,QCL,36
Belgium,Oats,0117,Production,5510,2023,t,11440,Official figure,A,Crops and livestock products,QCL,35
Belgium,Rice,0113,Area harvested,5312,2023,ha,0,Official figure,A,Crops and livestock products,QCL,34
Belgium,Rice,0113,Production,5510,2023,t,0,Official figure,A,Crops and livestock products,QCL,35
Belgium,Rye,0116,Area harvested,5312,2023,ha,1070,Official figure,A,Crops and livestock products,QCL,34
Belgium,Rye,0116,Yield,5412,2023,kg/ha,3766.4,Official figure,A,Crops and livestock products,QCL,36
Belgium,Rye,0116,Production,5510,2023,t,4030,Official figure,A,Crops and livestock products,QCL,35
Belgium,Wheat,0111,Area harvested,5312,2023,ha,212610,Official figure,A,Crops and livestock products,QCL,34
Belgium,Wheat,0111,Yield,5412,2023,kg/ha,8424.7,Official figure,A,Crops and livestock products,QCL,36
Belgium,Wheat,0111,Production,5510,2023,t,1791170,Official figure,A,Crops and livestock products,QCL,35
Belize,Rice,0113,Area harvested,5312,2023,ha,3159,Official figure,A,Crops and livestock products,QCL,37
Belize,Rice,0113,Yield,5412,2023,kg/ha,5603.4,Official figure,A,Crops and livestock products,QCL,39
Belize,Rice,0113,Production,5510,2023,t,17701,Official figure,A,Crops and livestock products,QCL,38
Benin,Rice,0113,Area harvested,5312,2023,ha,132046,Official figure,A,Crops and livestock products,QCL,40
Benin,Rice,0113,Yield,5412,2023,kg/ha,3730.7,Official figure,A,Crops and livestock products,QCL,42
Benin,Rice,0113,Production,5510,2023,t,492626.2,Official figure,A,Crops and livestock products,QCL,41
Bhutan,Barley,0115,Area harvested,5312,2023,ha,463,Official figure,A,Crops and livestock products,QCL,43
Bhutan,Barley,0115,Yield,5412,2023,kg/ha,1119.8,Official figure,A,Crops and livestock products,QCL,45
Bhutan,Barley,0115,Production,5510,2023,t,518.13,Official figure,A,Crops and livestock products,QCL,44
Bhutan,Rice,0113,Area harvested,5312,2023,ha,9425,Official figure,A,Crops and livestock products,QCL,43
Bhutan,Rice,0113,Yield,5412,2023,kg/ha,4329.3,Official figure,A,Crops and livestock products,QCL,45
Bhutan,Rice,0113,Production,5510,2023,t,40804.01,Official figure,A,Crops and livestock products,QCL,44
Bhutan,Wheat,0111,Area harvested,5312,2023,ha,731,Official figure,A,Crops and livestock products,QCL,43
Bhutan,Wheat,0111,Yield,5412,2023,kg/ha,1145.6,Official figure,A,Crops and livestock products,QCL,45
Bhutan,Wheat,0111,Production,5510,2023,t,837.01,Official figure,A,Crops and livestock products,QCL,44
Bolivia (Plurinational State of),Barley,0115,Area harvested,5312,2023,ha,53738,Official figure,A,Crops and livestock products,QCL,46
Bolivia (Plurinational State of),Barley,0115,Yield,5412,2023,kg/ha,883.6,Official figure,A,Crops and livestock products,QCL,48
Bolivia (Plurinational State of),Barley,0115,Production,5510,2023,t,47484.65,Official figure,A,Crops and livestock products,QCL,47
Bolivia (Plurinational State of),Oats,0117,Area harvested,5312,2023,ha,14869,Official figure,A,Crops and livestock products,QCL,46
Bolivia (Plurinational State of),Oats,0117,Yield,5412,2023,kg/ha,1444.4,Official figure,A,Crops and livestock products,QCL,48
Bolivia (Plurinational State of),Oats,0117,Production,5510,2023,t,21477.29,Official figure,A,Crops and livestock products,QCL,47
Bolivia (Plurinational State of),Rice,0113,Area harvested,5312,2023,ha,208226,Official figure,A,Crops and livestock products,QCL,46
Bolivia (Plurinational State of),Rice,0113,Yield,5412,2023,kg/ha,3354.7,Official figure,A,Crops and livestock products,QCL,48
Bolivia (Plurinational State of),Rice,0113,Production,5510,2023,t,698543.58,Official figure,A,Crops and livestock products,QCL,47
Bolivia (Plurinational State of),Rye,0116,Area harvested,5312,2023,ha,356,Official figure,A,Crops and livestock products,QCL,46
Bolivia (Plurinational State of),Rye,0116,Yield,5412,2023,kg/ha,801.7,Official figure,A,Crops and livestock products,QCL,48
Bolivia (Plurinational State of),Rye,0116,Production,5510,2023,t,285.25,Official figure,A,Crops and livestock products,QCL,47
Bolivia (Plurinational State of),Wheat,0111,Area harvested,5312,2023,ha,215288,Official figure,A,Crops and livestock products,QCL,46
Bolivia (Plurinational State of),Wheat,0111,Yield,5412,2023,kg/ha,1267.2,Official figure,A,Crops and livestock products,QCL,48
Bolivia (Plurinational State of),Wheat,0111,Production,5510,2023,t,272806.32,Official figure,A,Crops and livestock products,QCL,47
Bosnia and Herzegovina,Barley,0115,Area harvested,5312,2023,ha,20312,Official figure,A,Crops and livestock products,QCL,49
Bosnia and Herzegovina,Barley,0115,Yield,5412,2023,kg/ha,3720,Official figure,A,Crops and livestock products,QCL,51
Bosnia and Herzegovina,Barley,0115,Production,5510,2023,t,75561,Official figure,A,Crops and livestock products,QCL,50
Bosnia and Herzegovina,Oats,0117,Area harvested,5312,2023,ha,11090,Official figure,A,Crops and livestock products,QCL,49
Bosnia and Herzegovina,Oats,0117,Yield,5412,2023,kg/ha,3110,Official figure,A,Crops and livestock products,QCL,51
Bosnia and Herzegovina,Oats,0117,Production,5510,2023,t,34490,Official figure,A,Crops and livestock products,QCL,50
Bosnia and Herzegovina,Rye,0116,Area harvested,5312,2023,ha,1858,Official figure,A,Crops and livestock products,QCL,49
Bosnia and Herzegovina,Rye,0116,Yield,5412,2023,kg/ha,3519.9,Official figure,A,Crops and livestock products,QCL,51
Bosnia and Herzegovina,Rye,0116,Production,5510,2023,t,6540,Official figure,A,Crops and livestock products,QCL,50
Bosnia and Herzegovina,Wheat,0111,Area harvested,5312,2023,ha,52903,Official figure,A,Crops and livestock products,QCL,49
Bosnia and Herzegovina,Wheat,0111,Yield,5412,2023,kg/ha,4310,Official figure,A,Crops and livestock products,QCL,51
Bosnia and Herzegovina,Wheat,0111,Production,5510,2023,t,228012,Official figure,A,Crops and livestock products,QCL,50
Botswana,Wheat,0111,Area harvested,5312,2023,ha,804,Official figure,A,Crops and livestock products,QCL,52
Botswana,Wheat,0111,Yield,5412,2023,kg/ha,1007.5,Official figure,A,Crops and livestock products,QCL,54
Botswana,Wheat,0111,Production,5510,2023,t,810,Official figure,A,Crops and livestock products,QCL,53
Brazil,Barley,0115,Area harvested,5312,2023,ha,131981,Official figure,A,Crops and livestock products,QCL,55
Brazil,Barley,0115,Yield,5412,2023,kg/ha,2844.5,Official figure,A,Crops and livestock products,QCL,57
Brazil,Barley,0115,Production,5510,2023,t,375423,Official figure,A,Crops and livestock products,QCL,56
Brazil,Oats,0117,Area harvested,5312,2023,ha,528649,Official figure,A,Crops and livestock products,QCL,55
Brazil,Oats,0117,Yield,5412,2023,kg/ha,1715.8,Official figure,A,Crops and livestock products,QCL,57
Brazil,Oats,0117,Production,5510,2023,t,907046,Official figure,A,Crops and livestock products,QCL,56
Brazil,Rice,0113,Area harvested,5312,2023,ha,1482748,Official figure,A,Crops and livestock products,QCL,55
Brazil,Rice,0113,Yield,5412,2023,kg/ha,6936.9,Official figure,A,Crops and livestock products,QCL,57
Brazil,Rice,0113,Production,5510,2023,t,10285663,Official figure,A,Crops and livestock products,QCL,56
Brazil,Rye,0116,Area harvested,5312,2023,ha,4365,Official figure,A,Crops and livestock products,QCL,55
Brazil,Rye,0116,Yield,5412,2023,kg/ha,1622.9,Official figure,A,Crops and livestock products,QCL,57
Brazil,Rye,0116,Production,5510,2023,t,7084,Official figure,A,Crops and livestock products,QCL,56
Brazil,Wheat,0111,Area harvested,5312,2023,ha,3330303,Official figure,A,Crops and livestock products,QCL,55
Brazil,Wheat,0111,Yield,5412,2023,kg/ha,2321.2,Official figure,A,Crops and livestock products,QCL,57
Brazil,Wheat,0111,Production,5510,2023,t,7730188,Official figure,A,Crops and livestock products,QCL,56
Brunei Darussalam,Rice,0113,Area harvested,5312,2023,ha,1500,Official figure,A,Crops and livestock products,QCL,58
Brunei Darussalam,Rice,0113,Yield,5412,2023,kg/ha,2466.7,Official figure,A,Crops and livestock products,QCL,60
Brunei Darussalam,Rice,0113,Production,5510,2023,t,3700,Official figure,A,Crops and livestock products,QCL,59
Bulgaria,Barley,0115,Area harvested,5312,2023,ha,149980,Official figure,A,Crops and livestock products,QCL,61
Bulgaria,Barley,0115,Yield,5412,2023,kg/ha,5315.5,Official figure,A,Crops and livestock products,QCL,63
Bulgaria,Barley,0115,Production,5510,2023,t,797220,Official figure,A,Crops and livestock products,QCL,62
Bulgaria,Oats,0117,Area harvested,5312,2023,ha,13010,Official figure,A,Crops and livestock products,QCL,61
Bulgaria,Oats,0117,Yield,5412,2023,kg/ha,2384.3,Official figure,A,Crops and livestock products,QCL,63
Bulgaria,Oats,0117,Production,5510,2023,t,31020,Official figure,A,Crops and livestock products,QCL,62
Bulgaria,Rice,0113,Area harvested,5312,2023,ha,11200,Official figure,A,Crops and livestock products,QCL,61
Bulgaria,Rice,0113,Yield,5412,2023,kg/ha,5728.6,Official figure,A,Crops and livestock products,QCL,63
Bulgaria,Rice,0113,Production,5510,2023,t,64160,Official figure,A,Crops and livestock products,QCL,62
Bulgaria,Rye,0116,Area harvested,5312,2023,ha,7660,Official figure,A,Crops and livestock products,QCL,61
Bulgaria,Rye,0116,Yield,5412,2023,kg/ha,1913.8,Official figure,A,Crops and livestock products,QCL,63
Bulgaria,Rye,0116,Production,5510,2023,t,14660,Official figure,A,Crops and livestock products,QCL,62
Bulgaria,Wheat,0111,Area harvested,5312,2023,ha,1220910,Official figure,A,Crops and livestock products,QCL,61
Bulgaria,Wheat,0111,Yield,5412,2023,kg/ha,5614.5,Official figure,A,Crops and livestock products,QCL,63
Bulgaria,Wheat,0111,Production,5510,2023,t,6854760,Official figure,A,Crops and livestock products,QCL,62
Burkina Faso,Rice,0113,Area harvested,5312,2023,ha,212294,Official figure,A,Crops and livestock products,QCL,64
Burkina Faso,Rice,0113,Yield,5412,2023,kg/ha,2375.3,Official figure,A,Crops and livestock products,QCL,66
Burkina Faso,Rice,0113,Production,5510,2023,t,504254,Official figure,A,Crops and livestock products,QCL,65
Burundi,Rice,0113,Area harvested,5312,2023,ha,210518,Estimated value,E,Crops and livestock products,QCL,67
Burundi,Rice,0113,Yield,5412,2023,kg/ha,1958.8,Estimated value,E,Crops and livestock products,QCL,69
Burundi,Rice,0113,Production,5510,2023,t,412369.01,Imputed value,I,Crops and livestock products,QCL,68
Burundi,Wheat,0111,Area harvested,5312,2023,ha,10873,Imputed value,I,Crops and livestock products,QCL,67
Burundi,Wheat,0111,Yield,5412,2023,kg/ha,732.1,Estimated value,E,Crops and livestock products,QCL,69
Burundi,Wheat,0111,Production,5510,2023,t,7959.93,Imputed value,I,Crops and livestock products,QCL,68
Cambodia,Rice,0113,Area harvested,5312,2023,ha,3600387,Imputed value,I,Crops and livestock products,QCL,70
Cambodia,Rice,0113,Yield,5412,2023,kg/ha,3582.9,Estimated value,E,Crops and livestock products,QCL,72
Cambodia,Rice,0113,Production,5510,2023,t,12900000,Figure from international organizations,X,Crops and livestock products,QCL,71
Cameroon,Rice,0113,Area harvested,5312,2023,ha,156555,Imputed value,I,Crops and livestock products,QCL,73
Cameroon,Rice,0113,Yield,5412,2023,kg/ha,2289.5,Estimated value,E,Crops and livestock products,QCL,75
Cameroon,Rice,0113,Production,5510,2023,t,358432.99,Imputed value,I,Crops and livestock products,QCL,74
Cameroon,Wheat,0111,Area harvested,5312,2023,ha,448,Imputed value,I,Crops and livestock products,QCL,73
Cameroon,Wheat,0111,Yield,5412,2023,kg/ha,1337.8,Estimated value,E,Crops and livestock products,QCL,75
Cameroon,Wheat,0111,Production,5510,2023,t,599.67,Imputed value,I,Crops and livestock products,QCL,74
Canada,Barley,0115,Area harvested,5312,2023,ha,2699000,Official figure,A,Crops and livestock products,QCL,76
Canada,Barley,0115,Yield,5412,2023,kg/ha,3296.1,Official figure,A,Crops and livestock products,QCL,78
Canada,Barley,0115,Production,5510,2023,t,8896244,Official figure,A,Crops and livestock products,QCL,77
Canada,Oats,0117,Area harvested,5312,2023,ha,822500,Official figure,A,Crops and livestock products,QCL,76
Canada,Oats,0117,Yield,5412,2023,kg/ha,3204.3,Official figure,A,Crops and livestock products,QCL,78
Canada,Oats,0117,Production,5510,2023,t,2635574,Official figure,A,Crops and livestock products,QCL,77
Canada,Rye,0116,Area harvested,5312,2023,ha,115800,Official figure,A,Crops and livestock products,QCL,76
Canada,Rye,0116,Yield,5412,2023,kg/ha,3090.1,Official figure,A,Crops and livestock products,QCL,78
Canada,Rye,0116,Production,5510,2023,t,357834,Official figure,A,Crops and livestock products,QCL,77
Canada,Wheat,0111,Area harvested,5312,2023,ha,10682500,Official figure,A,Crops and livestock products,QCL,76
Canada,Wheat,0111,Yield,5412,2023,kg/ha,2991.3,Official figure,A,Crops and livestock products,QCL,78
Canada,Wheat,0111,Production,5510,2023,t,31954115,Official figure,A,Crops and livestock products,QCL,77
Central African Republic,Rice,0113,Area harvested,5312,2023,ha,38090,Official figure,A,Crops and livestock products,QCL,79
Central African Republic,Rice,0113,Yield,5412,2023,kg/ha,1400,Official figure,A,Crops and livestock products,QCL,81
Central African Republic,Rice,0113,Production,5510,2023,t,53326,Official figure,A,Crops and livestock products,QCL,80
Chad,Rice,0113,Area harvested,5312,2023,ha,175489,Official figure,A,Crops and livestock products,QCL,82
Chad,Rice,0113,Yield,5412,2023,kg/ha,1276.2,Official figure,A,Crops and livestock products,QCL,84
Chad,Rice,0113,Production,5510,2023,t,223952,Official figure,A,Crops and livestock products,QCL,83
Chad,Wheat,0111,Area harvested,5312,2023,ha,725,Official figure,A,Crops and livestock products,QCL,82
